A,B
19098894,14735124
18691744,18035408
18520774,17653732
18520774,16237129
26504611,20574039
26504611,18668626
26504611,16817196
26504611,15869953
26504611,12784268
26504611,12722162
26504611,1564476
26316998,15300651
26316998,12722162
26316998,11748737
24466187,18789756
24466187,1564476
23936729,21715166
23936729,20574039
23936729,15300651
22888319,21126990
22888319,18789756
22888319,18380279
22888319,17609881
22888319,16926210
19945285,17004944
18155331,16901637
18155331,16817196
18155331,15869953
18155331,8793751
18155331,1736324
30107806,29111328
30107806,20079433
29778803,15528409
29743866,29111328
29719505,28923922
29719505,28882997
29719505,28860381
29719505,28858313
29719505,28636593
29719505,27708076
29719505,27541985
29719505,26618722
29719505,26352473
29719505,26075822
29719505,25112864
29719505,24942732
29719505,24736453
29719505,21325059
29719505,19846850
29719505,18976489
29719505,15333840
29719505,9278044
29719505,9197268
29649621,28882997
29649621,28725967
29649621,20071342
29649621,19296921
29132391,25983062
29132391,25825709
29132391,23739956
29132391,23463005
29132391,23383169
29132391,23108585
29132391,22108613
29132391,22098189
29132391,20711177
29132391,16896109
29132391,16182554
29132391,15451224
29132391,9278044
29132391,9197268
28930663,28602351
28930663,22383036
28203479,10839993
28203479,10617608
28018360,26152715
28018360,23086037
27669650,21124315
27669650,12191486
27467571,25108167
27467571,19356970
27467571,18599528
27467571,17251276
27207919,25108167
27207919,21124315
26821015,23383169
26821015,22914327
26821015,21192928
26821015,19296921
26821015,19104149
26821015,18044695
26821015,17376993
26821015,16732273
26821015,12498954
26821015,12191486
26821015,9278044
26152715,23086037
26152715,10839993
26152715,10617608
26132721,21124315
25639775,25392495
25639775,25112864
25639775,25064009
25639775,24662516
25639775,23765500
25639775,23610405
25639775,23515615
25639775,23161999
25639775,22920859
25639775,21841800
25639775,21700325
25639775,21559417
25639775,21325059
25639775,21245577
25639775,19846850
25639775,19640926
25639775,19269371
25639775,19136952
25639775,18391963
25639775,18391962
25639775,16964263
25639775,9278044
25315906,16385087
23086037,21124315
22503440,21245015
22503440,18599350
22503440,15791003
21628463,12191486
21628463,11846609
21411503,20347450
21411503,19356970
21411503,18599528
21411503,17761552
21411503,17251276
21378214,20347450
21378214,19356970
21378214,18599528
21378214,17761552
21378214,17251276
19090996,15791003
18710400,12067227
18710400,10964613
18710400,9580157
18710400,3399080
18599528,17761552
18599528,17251276
18504291,16240369
17761552,17251276
17720159,17433296
17720159,17339843
17720159,17204153
17720159,17166628
17720159,16543934
17720159,16182554
17720159,15791003
17720159,15599609
17720159,12925360
17720159,12777365
17720159,12067227
17720159,10964613
17720159,10705937
17720159,10349502
17720159,9580157
17720159,9197268
17720159,3399080
10839993,10617608
29383446,28315845
29383446,28108021
29383446,27215393
29383446,27048443
29383446,26798982
29383446,25925985
29383446,25649923
29383446,25370355
29383446,25037206
29383446,24893708
29383446,24832846
29383446,24578545
29383446,23833269
29383446,23378222
29383446,23296128
29383446,22766031
29383446,22713671
29383446,22134476
29383446,21983019
29383446,21725242
29383446,21596771
29383446,21389298
29383446,21247790
29383446,20976739
29383446,20589879
29383446,19404616
29383446,19346328
29383446,18384246
29383446,17897403
29383446,17121746
29383446,15528409
29383446,12498954
25476402,24832846
25476402,24578545
25476402,24465678
25476402,24038587
25476402,23565936
25476402,23490464
25476402,23296128
25476402,22766031
25476402,22713671
25476402,21596771
25476402,21284039
25476402,20671181
25476402,20589879
25476402,19404616
25476402,19346328
25476402,17897403
24893708,19404616
24893708,16518128
24578545,24465678
24578545,22713671
24578545,22134476
24578545,21725242
24578545,21486295
24578545,21284039
24578545,21069833
24578545,19404616
24578545,17897403
24465678,22713671
24465678,21725242
24465678,21486295
24465678,21247790
24465678,20152119
24465678,20123548
24465678,19404616
24465678,14749292
24465678,6067254
24465678,1202204
24038587,22766031
24038587,21725242
